,cylinders,displacement,horsepower,weight,acceleration,output_mpg
552,6,250.0,72.0,3432,21.0,17.304000000000002
553,6,250.0,72.0,3158,19.5,17.481
554,8,400.0,170.0,4668,11.5,14.71
555,8,350.0,145.0,4440,14.0,14.552000000000003
556,8,318.0,150.0,4498,14.5,13.353
557,8,351.0,148.0,4657,13.5,13.68
558,6,231.0,110.0,3907,21.0,17.247000000000003
559,6,250.0,105.0,3897,18.5,16.132
560,6,258.0,110.0,3730,19.0,15.525
561,6,225.0,95.0,3785,19.0,17.623
562,6,231.0,110.0,3039,15.0,20.881999999999998
563,8,262.0,110.0,3221,13.5,20.933000000000003
564,8,302.0,129.0,3169,12.0,15.037999999999995
565,4,97.0,75.0,2171,16.0,29.285999999999998
566,4,140.0,83.0,2639,17.0,26.305999999999987
567,6,232.0,100.0,2914,16.0,19.585
568,4,140.0,78.0,2592,18.5,24.723
569,4,134.0,96.0,2702,13.5,25.241999999999997
570,4,90.0,71.0,2223,16.5,32.188
571,4,119.0,97.0,2545,17.0,25.310000000000006
572,6,171.0,97.0,2984,14.5,19.461000000000002
573,4,90.0,70.0,1937,14.0,32.513000000000005
574,6,232.0,90.0,3211,17.0,19.29200000000001
575,4,115.0,95.0,2694,15.0,24.105000000000004
576,4,120.0,88.0,2957,17.0,23.57
577,4,121.0,98.0,2945,14.5,22.391
578,4,121.0,115.0,2671,13.5,24.334999999999994
579,4,91.0,53.0,1795,17.5,35.76599999999997
580,4,107.0,86.0,2464,15.5,27.166000000000004
581,4,116.0,81.0,2220,16.9,26.110000000000003
582,4,140.0,92.0,2572,14.9,25.835
583,4,98.0,79.0,2255,17.7,27.022000000000002
584,4,101.0,83.0,2202,15.3,28.012000000000008
585,8,305.0,140.0,4215,13.0,16.889
586,8,318.0,150.0,4190,13.0,15.4
587,8,304.0,120.0,3962,13.9,16.274
588,8,351.0,152.0,4215,12.8,14.47
589,6,225.0,100.0,3233,15.4,20.885
590,6,250.0,105.0,3353,14.5,20.57
591,6,200.0,81.0,3012,17.6,23.206
592,6,232.0,90.0,3085,17.6,21.228000000000005
593,4,85.0,52.0,2035,22.2,31.893
594,4,98.0,60.0,2164,22.1,31.34100000000002
595,4,90.0,70.0,1937,14.2,30.715000000000003
596,4,91.0,53.0,1795,17.4,35.74099999999997
597,6,225.0,100.0,3651,17.7,19.421999999999997
598,6,250.0,78.0,3574,21.0,18.534000000000002
599,6,250.0,110.0,3645,16.2,18.268
600,6,258.0,95.0,3193,17.8,17.734
601,4,97.0,71.0,1825,12.2,31.419999999999987
602,4,85.0,70.0,1990,17.0,32.787
603,4,97.0,75.0,2155,16.4,28.405000000000005
604,4,140.0,72.0,2565,13.6,27.796
605,4,130.0,102.0,3150,15.7,20.795
606,8,318.0,150.0,3940,13.2,14.291000000000002
607,4,120.0,88.0,3270,21.9,21.081999999999997
608,6,156.0,108.0,2930,15.5,20.198
609,6,168.0,120.0,3820,16.7,17.519000000000005
610,8,350.0,180.0,4380,12.1,14.899000000000001
611,8,350.0,145.0,4055,12.0,13.72
612,8,302.0,130.0,3870,15.0,14.058000000000002
613,8,318.0,150.0,3755,14.0,13.674000000000001
614,4,98.0,68.0,2045,18.5,31.85
615,4,111.0,80.0,2155,14.8,29.989
616,4,79.0,58.0,1825,18.6,35.565
617,4,122.0,96.0,2300,15.5,25.038
618,4,85.0,70.0,1945,16.8,33.19499999999999
619,8,305.0,145.0,3880,12.5,16.266
620,8,260.0,110.0,4060,19.0,16.777
621,8,318.0,145.0,4140,13.7,15.359000000000002
622,8,302.0,130.0,4295,14.9,14.754000000000001
623,6,250.0,110.0,3520,16.4,18.244
624,6,231.0,105.0,3425,16.9,20.315
625,6,225.0,100.0,3630,17.7,18.896
626,6,250.0,98.0,3525,19.0,17.828000000000003
627,8,400.0,180.0,4220,11.1,14.35
628,8,350.0,170.0,4165,11.4,14.98
629,8,400.0,190.0,4325,12.2,15.02
630,8,351.0,149.0,4335,14.5,15.599
631,4,97.0,78.0,1940,14.5,30.017
632,4,151.0,88.0,2740,16.0,26.887000000000015
633,4,97.0,75.0,2265,18.2,27.293999999999997
634,4,140.0,89.0,2755,15.8,25.48099999999999
635,4,98.0,63.0,2051,17.0,31.647999999999996
636,4,98.0,83.0,2075,15.9,28.423
637,4,97.0,67.0,1985,16.4,30.936000000000007
638,4,97.0,78.0,2190,14.1,30.134
639,6,146.0,97.0,2815,14.5,22.63
640,4,121.0,110.0,2600,12.8,23.265
641,3,80.0,110.0,2720,13.5,21.904
642,4,90.0,48.0,1985,21.5,39.92199999999997
643,4,98.0,66.0,1800,14.4,34.87899999999997
644,4,78.0,52.0,1985,19.4,32.87200000000003
645,4,85.0,70.0,2070,18.6,36.634000000000036
646,4,91.0,60.0,1800,16.4,36.16999999999995
647,8,260.0,110.0,3365,15.5,19.37200000000001
648,8,318.0,140.0,3735,13.2,18.353000000000023
649,8,302.0,139.0,3570,12.8,19.03800000000002
650,6,231.0,105.0,3535,19.2,18.82100000000002
651,6,200.0,95.0,3155,18.2,20.164
652,6,200.0,85.0,2965,15.8,20.53100000000002
653,4,140.0,88.0,2720,15.4,25.625999999999973
654,6,225.0,100.0,3430,17.2,19.721
655,6,232.0,90.0,3210,17.2,19.48000000000002
656,6,231.0,105.0,3380,15.8,20.66999999999998
657,6,200.0,85.0,3070,16.7,20.67199999999999
658,6,225.0,110.0,3620,18.7,18.70099999999998
659,6,258.0,120.0,3410,15.1,19.455000000000005
660,8,305.0,145.0,3425,13.2,17.458000000000006
661,6,231.0,165.0,3445,13.4,17.645000000000017
662,8,302.0,139.0,3205,11.2,17.20799999999998
663,8,318.0,140.0,4080,13.7,16.942
664,4,98.0,68.0,2155,16.5,30.503
665,4,134.0,95.0,2560,14.2,25.563999999999993
666,4,119.0,97.0,2300,14.7,27.135
667,4,105.0,75.0,2230,14.5,31.57200000000003
668,4,134.0,95.0,2515,14.8,23.510999999999978
669,4,156.0,105.0,2745,16.7,24.35500000000002
670,4,151.0,85.0,2855,17.6,25.966000000000005
671,4,119.0,97.0,2405,14.9,24.87700000000003
672,5,131.0,103.0,2830,15.9,21.37199999999998
673,6,163.0,125.0,3140,13.6,20.076000000000004
674,4,121.0,115.0,2795,15.7,22.101999999999986
675,6,163.0,133.0,3410,15.8,17.611000000000026
676,4,89.0,71.0,1990,14.9,31.47500000000001
677,4,98.0,68.0,2135,16.6,30.892
678,6,231.0,115.0,3245,15.4,21.537
679,6,200.0,85.0,2990,18.2,20.73199999999999
680,4,140.0,88.0,2890,17.3,23.70400000000001
681,6,232.0,90.0,3265,18.2,19.85800000000002
682,6,225.0,110.0,3360,16.6,20.341999999999977
683,8,305.0,130.0,3840,15.4,15.600000000000007
684,8,302.0,129.0,3725,13.4,17.280999999999985
685,8,351.0,138.0,3955,13.2,16.645
686,8,318.0,135.0,3830,15.2,16.493000000000016
687,8,350.0,155.0,4360,14.9,15.280000000000006
688,8,351.0,142.0,4054,14.3,15.555
689,8,267.0,125.0,3605,15.0,19.10900000000002
690,8,360.0,150.0,3940,13.0,13.967
691,4,89.0,71.0,1925,14.0,32.51000000000003
692,4,86.0,65.0,1975,15.2,32.412000000000006
693,4,98.0,80.0,1915,14.4,33.83499999999997
694,4,121.0,80.0,2670,15.0,27.99700000000004
695,5,183.0,77.0,3530,20.1,24.779000000000025
696,8,350.0,125.0,3900,17.4,18.087999999999997
697,4,141.0,71.0,3190,24.8,28.231999999999992
698,8,260.0,90.0,3420,22.2,21.786000000000023
699,4,105.0,70.0,2200,13.2,33.93999999999997
700,4,105.0,70.0,2150,14.9,34.41
701,4,85.0,65.0,2020,19.2,32.33600000000004
702,4,91.0,69.0,2130,14.7,36.975000000000044
703,4,151.0,90.0,2670,16.0,27.87500000000003
704,6,173.0,115.0,2595,11.3,28.182000000000027
705,6,173.0,115.0,2700,12.9,24.862000000000027
706,4,151.0,90.0,2556,13.2,31.224000000000004
707,4,98.0,76.0,2144,14.7,36.61600000000001
708,4,89.0,60.0,1968,18.8,37.09799999999996
709,4,98.0,70.0,2120,15.5,32.34599999999997
710,4,86.0,65.0,2019,16.4,35.93600000000001
711,4,151.0,90.0,2678,16.5,27.521000000000008
712,4,140.0,88.0,2870,18.1,25.37800000000003
713,4,151.0,90.0,3003,20.1,24.508999999999993
714,6,225.0,90.0,3381,18.7,19.59199999999998
715,4,97.0,78.0,2188,15.8,31.677000000000024
716,4,134.0,90.0,2711,15.5,24.85799999999999
717,4,120.0,75.0,2542,17.5,30.93600000000002
718,4,119.0,92.0,2434,15.0,32.52
719,4,108.0,75.0,2265,15.2,31.688999999999986
720,4,86.0,65.0,2110,17.9,43.75999999999999
721,4,156.0,105.0,2800,14.4,25.99800000000003
722,4,85.0,65.0,2110,19.2,40.13500000000005
723,4,90.0,48.0,2085,21.7,42.613000000000035
724,4,90.0,48.0,2335,23.7,39.22200000000004
725,5,121.0,67.0,2950,19.9,33.619000000000035
726,4,146.0,67.0,3250,21.8,30.456000000000003
727,4,91.0,67.0,1850,13.8,40.09399999999996
728,4,85.0,104.46938775510203,1835,17.3,35.80400000000003
729,4,97.0,67.0,2145,18.0,33.034000000000034
730,4,89.0,62.0,1845,15.3,31.560000000000027
731,6,168.0,132.0,2910,11.4,27.053999999999995
732,3,70.0,100.0,2420,12.5,23.1
733,4,122.0,88.0,2500,15.1,31.136999999999997
734,4,140.0,104.46938775510203,2905,14.3,23.874999999999982
735,4,107.0,72.0,2290,17.0,30.29400000000001
736,4,135.0,84.0,2490,15.7,27.524999999999995
737,4,151.0,84.0,2635,16.4,26.858999999999966
738,4,156.0,92.0,2620,14.4,26.176000000000002
739,6,173.0,110.0,2725,12.6,24.575000000000017
740,4,135.0,84.0,2385,12.9,31.186999999999998
741,4,79.0,58.0,1755,16.9,36.80499999999996
742,4,86.0,64.0,1875,16.4,36.97599999999999
743,4,81.0,60.0,1760,16.1,35.04199999999995
744,4,97.0,67.0,2065,17.8,32.131000000000036
745,4,85.0,65.0,1975,19.4,35.113000000000014
746,4,89.0,62.0,2050,17.3,36.38499999999997
747,4,91.0,68.0,1985,16.0,34.27399999999997
748,4,105.0,63.0,2215,14.9,35.19
749,4,98.0,65.0,2045,16.2,32.3
750,4,98.0,65.0,2380,20.7,30.070000000000036
751,4,105.0,74.0,2190,14.2,33.14599999999999
752,4,100.0,104.46938775510203,2320,15.8,30.991999999999997
753,4,107.0,75.0,2210,14.4,33.819999999999965
754,4,108.0,75.0,2350,16.8,31.55000000000004
755,4,119.0,100.0,2615,14.8,28.557000000000027
756,4,120.0,74.0,2635,18.3,30.667999999999974
757,4,141.0,80.0,3230,20.4,26.931999999999974
758,6,145.0,76.0,3160,19.6,28.395999999999976
759,6,168.0,116.0,2900,12.6,24.68500000000003
760,6,146.0,120.0,2930,13.8,22.88400000000001
761,6,231.0,110.0,3415,15.8,21.676000000000016
762,8,350.0,105.0,3725,19.0,22.439999999999973
763,6,200.0,88.0,3060,17.1,20.43100000000002
764,6,225.0,85.0,3465,16.6,18.01999999999998
765,4,112.0,88.0,2605,19.6,25.147
766,4,112.0,88.0,2640,18.6,26.410999999999998
767,4,112.0,88.0,2395,18.0,31.014
768,4,112.0,85.0,2575,16.2,26.397
769,4,135.0,84.0,2525,16.0,28.05999999999999
770,4,151.0,90.0,2735,18.0,26.997000000000003
771,4,140.0,92.0,2865,16.4,24.77399999999999
772,4,151.0,104.46938775510203,3035,20.5,23.044
773,4,105.0,74.0,1980,15.3,30.023999999999987
774,4,91.0,68.0,2025,18.2,36.035999999999994
775,4,91.0,68.0,1970,17.6,35.04099999999998
776,4,105.0,63.0,2125,14.7,37.038999999999994
777,4,98.0,70.0,2125,17.3,34.392999999999994
778,4,120.0,88.0,2160,14.5,26.477999999999998
779,4,107.0,75.0,2205,14.5,34.647
780,4,108.0,70.0,2245,16.9,32.802
781,4,91.0,67.0,1965,15.0,32.207000000000015
782,4,91.0,67.0,1965,15.7,32.379999999999995
783,4,91.0,67.0,1995,16.2,36.76599999999999
784,6,181.0,110.0,2945,16.4,20.101000000000006
785,6,262.0,85.0,3015,17.0,31.026
786,4,156.0,92.0,2585,14.5,26.460000000000008
787,6,232.0,112.0,2835,14.7,19.791000000000004
788,4,144.0,96.0,2665,13.9,29.163
789,4,135.0,84.0,2370,13.0,33.357
790,4,151.0,90.0,2950,17.3,26.319000000000003
791,4,140.0,86.0,2790,15.6,24.911999999999992
792,4,97.0,52.0,2130,24.6,29.216000000000005
793,4,135.0,84.0,2295,11.6,31.486
794,4,120.0,79.0,2625,18.6,27.727999999999998
795,4,119.0,82.0,2720,19.4,28.962999999999994
796,8,307.0,130.0,3504,12.0,17.017999999999997
797,8,350.0,165.0,3693,11.5,15.1515
798,8,318.0,150.0,3436,11.0,16.99
799,8,304.0,150.0,3433,12.0,16.235142857142854
800,8,302.0,140.0,3449,10.5,17.064
801,8,429.0,198.0,4341,10.0,14.204
802,8,454.0,220.0,4354,9.0,14.026
803,8,440.0,215.0,4312,8.5,14.03
804,8,455.0,225.0,4425,10.0,13.455
805,8,390.0,190.0,3850,8.5,14.06
806,8,383.0,170.0,3563,10.0,15.226
807,8,340.0,160.0,3609,8.0,14.511
808,8,400.0,150.0,3761,9.5,14.825
809,8,455.0,225.0,3086,10.0,14.682
810,4,113.0,95.0,2372,15.0,24.694000000000003
811,6,198.0,95.0,2833,15.5,19.254000000000005
812,6,199.0,97.0,2774,15.5,18.865000000000002
813,6,200.0,85.0,2587,16.0,21.184
814,4,97.0,88.0,2130,14.5,27.225
815,4,97.0,46.0,1835,20.5,28.309
816,4,110.0,87.0,2672,17.5,26.028000000000006
817,4,107.0,90.0,2430,14.5,26.976
818,4,104.0,95.0,2375,17.5,24.857000000000003
819,4,121.0,113.0,2234,12.5,26.06499999999999
820,6,199.0,90.0,2648,15.0,20.62
821,8,360.0,215.0,4615,14.0,11.629000000000001
822,8,307.0,200.0,4376,15.0,11.198
823,8,318.0,210.0,4382,13.5,12.283
824,8,304.0,193.0,4732,18.5,9.895
825,4,97.0,88.0,2130,14.5,27.225
826,4,140.0,90.0,2264,15.5,25.316999999999993
827,4,113.0,95.0,2228,14.0,25.286000000000005
828,4,98.0,104.46938775510203,2046,19.0,24.989
829,6,232.0,100.0,2634,13.0,21.674000000000007
830,6,225.0,105.0,3439,15.5,16.82
831,6,250.0,100.0,3329,15.5,17.685
832,6,250.0,88.0,3302,15.5,18.726000000000003
833,6,232.0,100.0,3288,15.5,18.612000000000002
834,8,350.0,165.0,4209,12.0,14.154000000000002
835,8,400.0,175.0,4464,11.5,14.155
836,8,351.0,153.0,4154,13.5,14.225
837,8,318.0,150.0,4096,13.0,14.405
838,8,383.0,180.0,4955,11.5,12.79
839,8,400.0,170.0,4746,12.0,12.94
840,8,400.0,175.0,5140,12.0,12.66
841,6,258.0,110.0,2962,13.5,21.655
842,4,140.0,72.0,2408,19.0,24.930999999999997
843,6,250.0,100.0,3282,15.0,18.959
844,6,250.0,88.0,3139,14.5,18.594
845,4,122.0,86.0,2220,14.0,24.133000000000003
846,4,116.0,90.0,2123,14.0,26.902
847,4,79.0,70.0,2074,19.5,32.28400000000002
848,4,88.0,76.0,2065,14.5,30.513
849,4,71.0,65.0,1773,19.0,32.13
850,4,72.0,69.0,1613,18.0,34.449
851,4,97.0,60.0,1834,19.0,32.199999999999996
852,4,91.0,70.0,1955,20.5,33.118
853,4,113.0,95.0,2278,15.5,25.974999999999994
854,4,97.5,80.0,2126,17.0,26.837000000000003
855,4,97.0,54.0,2254,23.5,25.763
856,4,140.0,90.0,2408,19.5,21.778999999999996
857,4,122.0,86.0,2226,16.5,22.059
858,8,350.0,165.0,4274,12.0,13.681
859,8,400.0,175.0,4385,12.0,13.885
860,8,318.0,150.0,4135,13.5,14.89
861,8,351.0,153.0,4129,13.0,14.055
862,8,304.0,150.0,3672,11.5,15.868142857142857
863,8,429.0,208.0,4633,11.0,11.93
864,8,350.0,155.0,4502,13.5,12.98
865,8,350.0,160.0,4456,13.5,12.5
866,8,400.0,190.0,4422,12.5,13.43
867,3,70.0,97.0,2330,13.5,21.104000000000006
868,8,304.0,150.0,3892,12.5,15.536142857142858
869,8,307.0,130.0,4098,14.0,15.608000000000002
870,8,302.0,140.0,4294,16.0,13.927999999999999
871,8,318.0,150.0,4077,14.0,14.175
872,4,121.0,112.0,2933,14.5,21.642
873,4,121.0,76.0,2511,18.0,30.261999999999997
874,4,120.0,87.0,2979,19.5,22.581999999999994
875,4,96.0,69.0,2189,18.0,28.783000000000015
876,4,122.0,86.0,2395,16.0,23.389
877,4,97.0,92.0,2288,17.0,27.030000000000005
878,4,120.0,97.0,2506,14.5,24.883000000000003
879,4,98.0,80.0,2164,15.0,28.855
880,4,97.0,88.0,2100,16.5,27.421000000000003
881,8,350.0,175.0,4100,13.0,13.595
882,8,304.0,150.0,3672,11.5,15.868142857142857
883,8,350.0,145.0,3988,13.0,13.574000000000002
884,8,302.0,137.0,4042,14.5,14.646
885,8,318.0,150.0,3777,12.5,15.003000000000002
886,8,429.0,198.0,4952,11.5,11.85
887,8,400.0,150.0,4464,12.0,13.1
888,8,351.0,158.0,4363,13.0,13.455
889,8,318.0,150.0,4237,14.5,15.427
890,8,440.0,215.0,4735,11.0,11.78
891,8,455.0,225.0,4951,11.0,12.06
892,8,360.0,175.0,3821,11.0,13.57
893,6,225.0,105.0,3121,16.5,19.101999999999993
894,6,250.0,100.0,3278,18.0,16.472
895,6,232.0,100.0,2945,16.0,18.625000000000004
896,6,250.0,88.0,3021,16.5,19.082000000000004
897,6,198.0,95.0,2904,16.0,19.502000000000006
898,4,97.0,46.0,1950,21.0,27.969
899,8,400.0,150.0,4997,14.0,11.829
900,8,400.0,167.0,4906,12.5,12.33
901,8,360.0,170.0,4654,13.0,13.02
902,8,350.0,180.0,4499,12.5,12.525
903,6,232.0,100.0,2789,15.0,18.629
904,4,97.0,88.0,2279,19.0,22.573
905,4,140.0,72.0,2401,19.5,24.342
906,4,108.0,94.0,2379,16.5,23.633000000000003
907,3,70.0,90.0,2124,13.5,21.711
908,4,122.0,85.0,2310,18.5,21.695999999999998
909,6,155.0,107.0,2472,14.0,24.53200000000001
910,4,98.0,90.0,2265,15.5,26.662000000000003
911,8,350.0,145.0,4082,13.0,14.63
912,8,400.0,230.0,4278,9.5,14.17
913,4,68.0,49.0,1867,19.5,32.373999999999995
914,4,116.0,75.0,2158,15.5,27.03600000000001
915,4,114.0,91.0,2582,14.0,22.835
916,4,121.0,112.0,2868,15.5,20.351999999999997
917,8,318.0,150.0,3399,11.0,15.709000000000001
918,4,121.0,110.0,2660,14.0,24.247
919,6,156.0,122.0,2807,13.5,21.954
920,8,350.0,180.0,3664,11.0,14.7245
921,6,198.0,95.0,3102,16.5,19.83
922,6,200.0,104.46938775510203,2875,17.0,19.602000000000004
923,6,232.0,100.0,2901,16.0,19.135
924,6,250.0,100.0,3336,17.0,15.955
925,4,79.0,67.0,1950,19.0,31.661000000000005
926,4,122.0,80.0,2451,16.5,26.727000000000004
927,4,71.0,65.0,1836,21.0,31.815000000000005
928,4,140.0,75.0,2542,17.0,28.36400000000001
929,6,250.0,100.0,3781,17.0,16.326
930,6,258.0,110.0,3632,18.0,16.534
931,6,225.0,105.0,3613,16.5,18.267999999999994
932,8,302.0,140.0,4141,14.0,15.749
933,8,350.0,150.0,4699,14.5,12.889000000000001
934,8,318.0,150.0,4457,13.5,13.46
935,8,302.0,140.0,4638,16.0,13.77
936,8,304.0,150.0,4257,15.5,14.068
937,4,98.0,83.0,2219,16.5,26.919
938,4,79.0,67.0,1963,15.5,28.451
939,4,97.0,78.0,2300,14.5,27.314
940,4,76.0,52.0,1649,16.5,32.83199999999999
941,4,83.0,61.0,2003,19.0,32.791000000000004
942,4,90.0,75.0,2125,14.5,29.401999999999997
943,4,90.0,75.0,2108,15.5,27.507999999999996
944,4,116.0,75.0,2246,14.0,30.726000000000003
945,4,120.0,97.0,2489,15.0,24.638
946,4,108.0,93.0,2391,15.5,26.662000000000003
947,4,79.0,67.0,2000,16.0,31.874999999999986
948,6,225.0,95.0,3264,16.0,20.15499999999999
949,6,250.0,105.0,3459,16.0,18.076999999999998
950,6,250.0,72.0,3432,21.0,17.304000000000002
951,6,250.0,72.0,3158,19.5,17.481
952,8,400.0,170.0,4668,11.5,14.71
953,8,350.0,145.0,4440,14.0,14.552000000000003
954,8,318.0,150.0,4498,14.5,13.353
955,8,351.0,148.0,4657,13.5,13.68
956,6,231.0,110.0,3907,21.0,17.247000000000003
957,6,250.0,105.0,3897,18.5,16.132
958,6,258.0,110.0,3730,19.0,15.525
959,6,225.0,95.0,3785,19.0,17.623
960,6,231.0,110.0,3039,15.0,20.881999999999998
961,8,262.0,110.0,3221,13.5,20.933000000000003
962,8,302.0,129.0,3169,12.0,15.037999999999995
963,4,97.0,75.0,2171,16.0,29.285999999999998
964,4,140.0,83.0,2639,17.0,26.305999999999987
965,6,232.0,100.0,2914,16.0,19.585
966,4,140.0,78.0,2592,18.5,24.723
967,4,134.0,96.0,2702,13.5,25.241999999999997
968,4,90.0,71.0,2223,16.5,32.188
969,4,119.0,97.0,2545,17.0,25.310000000000006
970,6,171.0,97.0,2984,14.5,19.461000000000002
971,4,90.0,70.0,1937,14.0,32.513000000000005
972,6,232.0,90.0,3211,17.0,19.29200000000001
973,4,115.0,95.0,2694,15.0,24.105000000000004
974,4,120.0,88.0,2957,17.0,23.57
975,4,121.0,98.0,2945,14.5,22.391
976,4,121.0,115.0,2671,13.5,24.334999999999994
977,4,91.0,53.0,1795,17.5,35.76599999999997
978,4,107.0,86.0,2464,15.5,27.166000000000004
979,4,116.0,81.0,2220,16.9,26.110000000000003
980,4,140.0,92.0,2572,14.9,25.835
981,4,98.0,79.0,2255,17.7,27.022000000000002
982,4,101.0,83.0,2202,15.3,28.012000000000008
983,8,305.0,140.0,4215,13.0,16.889
984,8,318.0,150.0,4190,13.0,15.4
985,8,304.0,120.0,3962,13.9,16.274
986,8,351.0,152.0,4215,12.8,14.47
987,6,225.0,100.0,3233,15.4,20.885
988,6,250.0,105.0,3353,14.5,20.57
989,6,200.0,81.0,3012,17.6,23.206
990,6,232.0,90.0,3085,17.6,21.228000000000005
991,4,85.0,52.0,2035,22.2,31.893
992,4,98.0,60.0,2164,22.1,31.34100000000002
993,4,90.0,70.0,1937,14.2,30.715000000000003
994,4,91.0,53.0,1795,17.4,35.74099999999997
995,6,225.0,100.0,3651,17.7,19.421999999999997
996,6,250.0,78.0,3574,21.0,18.534000000000002
997,6,250.0,110.0,3645,16.2,18.268
998,6,258.0,95.0,3193,17.8,17.734
999,4,97.0,71.0,1825,12.2,31.419999999999987
